,rawData,additive,description
385,"Defoaming agents and components Dimethylpolysiloxane, polyoxyethylene 40 monostearate, Polysorbate 60, Polysorbate 65, propylene glycol alginate, silicon dioxide, sorbitan monostearate, aluminum stearate(For use in processing beet sugar and yeast only - 173.340);butyl stearate, BHA, BHT, calcium stearate, fatty acids, hydroxylated lecithin, isopropyl alcohol, magnesium stearate, mineral oil, petrolatum, odorless light petroleum hydrocarbons, Petroleum waxes, Synthetic isoparaffinic petroleum hydrocarbons, Oxystearin, Polyethylene glycol, Polyoxyethylene (600) dioleate, Polyoxyethylene (600) mono-ricinoleate, polypropylene glycol, polysorbate 80, potassium stearate, propylene glycol mono & diesters of fats and fatty acids, soybean oil fatty acids - hydroxylated; tallow - hydrogenated, oxidized, or sulfated; hydrogenated tallow alcohol. n-Butoxypolyoxyethylene(AF, REG, For use in processing beet sugar only - 173.340);polyoxypropylene glycol formaldehyde, sodium polyacrylate, synthetic petroleum wax, oleic acid from tall oil fatty acids- AF, REG, In foods. See individual chemicals for uses and limitations - 173.340","Defoaming agents and components Dimethylpolysiloxane, polyoxyethylene 40 monostearate, Polysorbate 60, Polysorbate 65, propylene glycol alginate, silicon dioxide, sorbitan monostearate, aluminum stearate(For use in processing beet sugar and yeast only","173.340);butyl stearate, BHA, BHT, calcium stearate, fatty acids, hydroxylated lecithin, isopropyl alcohol, magnesium stearate, mineral oil, petrolatum, odorless light petroleum hydrocarbons, Petroleum waxes, Synthetic isoparaffinic petroleum hydrocarbons, Oxystearin, Polyethylene glycol, Polyoxyethylene (600) dioleate, Polyoxyethylene (600) mono-ricinoleate, polypropylene glycol, polysorbate 80, potassium stearate, propylene glycol mono & diesters of fats and fatty acids, soybean oil fatty acids - hydroxylated; tallow - hydrogenated, oxidized, or sulfated; hydrogenated tallow alcohol. n-Butoxypolyoxyethylene(AF, REG, For use in processing beet sugar only - 173.340);polyoxypropylene glycol formaldehyde, sodium polyacrylate, synthetic petroleum wax, oleic acid from tall oil fatty acids- AF, REG, In foods. See individual chemicals for uses and limitations - 173.340"
386,"Defoaming agents, butter, oleomargarine, lard, corn oil, coconut oil, cottonseed oil, mono- and diglycerides of fat-forming fatty acids- AF, REG/FS, GMP, In fruit butters, jellies, preserves and related products - Part 150","Defoaming agents, butter, oleomargarine, lard, corn oil, coconut oil, cottonseed oil, mono","and diglycerides of fat-forming fatty acids- AF, REG/FS, GMP, In fruit butters, jellies, preserves and related products - Part 150"
387,"Dehydroacetic acid or its Na salt- PRES, REG, 65 ppm as the acid - In cut or peeled squash - 172.130",Dehydroacetic acid or its Na salt,"PRES, REG, 65 ppm as the acid - In cut or peeled squash - 172.130"
388,"Dextrans (avg mol wt <100,000)- MISC, GRAS","Dextrans (avg mol wt <100,000)","MISC, GRAS"
389,"Diacetyl- SY/FL, GRAS, GMP - 184.1278",Diacetyl,"SY/FL, GRAS, GMP - 184.1278"
390,Dextrin- GRAS - 184.1277,Dextrin,GRAS - 184.1277
391,Dextrose- GRAS - 184.1857,Dextrose,GRAS - 184.1857
392,"Diacetyl tartaric acid esters of mono- and diglycerides of edible fats or oils, or edible fat-forming fatty acids­EMUL, GRAS/FS, Part 136, Bakery Products - 184.1101",Diacetyl tartaric acid esters of mono,"and diglycerides of edible fats or oils, or edible fat-forming fatty acids­EMUL, GRAS/FS, Part 136, Bakery Products - 184.1101"
393,"2,4-Diamino-5-(6-methylveratryl)pyrimidine-FEED, REG, See Ormetoprim","2,4-Diamino-5-(6-methylveratryl)pyrimidine-FEED, REG, See Ormetoprim",
394,"Di-n-alkyl(C8-C18-from coconut oil)dimethylammonium chloride- PEST, REG, 5% by weight - 172.710",Di-n-alkyl(C8-C18-from coconut oil)dimethylammonium chloride,"PEST, REG, 5% by weight - 172.710"
395,"Dialkanolamide (1 mole of methyl laurate w/ 1.05 mole of diethanolamine)- MISC, REG, < 2 ppm in flume - Used in flume water for washing sugar beets prior to slicing operation - 173.315",Dialkanolamide (1 mole of methyl laurate w/ 1.05 mole of diethanolamine),"MISC, REG, < 2 ppm in flume - Used in flume water for washing sugar beets prior to slicing operation - 173.315"
396,"Diammonium phosphate- FEED, REG, < 2.0% of crude protein in total daily ration - Source of non-protein nitrogen & phos in ruminant feeds. See 573.320",Diammonium phosphate,"FEED, REG, < 2.0% of crude protein in total daily ration - Source of non-protein nitrogen & phos in ruminant feeds. See 573.320"
397,"Diatomaceous earth- FEED, REG, 2% - As an inert carri­er or anti-caking agent in animal feed - 573.340",Diatomaceous earth,"FEED, REG, 2% - As an inert carri­er or anti-caking agent in animal feed - 573.340"
398,"2,2-Dibromo-3-nitrilopropionamide- PRES, REG, 2.0 -10.0 ppm in raw cane or beets - Used alone for control of microorganisms in cane and beet sugar mills, byproducts not for use in animal feeds - 173.320","2,2-Dibromo-3-nitrilopropionamide","PRES, REG, 2.0 -10.0 ppm in raw cane or beets - Used alone for control of microorganisms in cane and beet sugar mills, byproducts not for use in animal feeds - 173.320"
399,"Dicalcium phosphate- NUTR/FS, GRAS/FS, Part 137; XREF calcium phosphate",Dicalcium phosphate,"NUTR/FS, GRAS/FS, Part 137; XREF calcium phosphate"
400,"Dichlorodifluoromethane- MISC, REG, GMP, Direct con­tact freezing agent for foods - 173.355; With ethylene oxide as fumigant for ground spices",Dichlorodifluoromethane,"MISC, REG, GMP, Direct con­tact freezing agent for foods - 173.355; With ethylene oxide as fumigant for ground spices"
401,"3,5-Dichloro-2,6-dimethyl-4-pyridinol- See Clopidol","3,5-Dichloro-2,6-dimethyl-4-pyridinol",See Clopidol
402,"Dichloroisocyanuric acid- SANI, REG, <100 ppm avail halogen - Adequate drainage - 178.1010",Dichloroisocyanuric acid,"SANI, REG, <100 ppm avail halogen - Adequate drainage - 178.1010"
403,"Dichlorvos (2,2-dichlorovinyl dimethyl phosphate or DDVP)- FEED, REG, 0.1 ppm - In edible tissues of swine -556.180; Use & other information - 558.205: 520.600","Dichlorvos (2,2-dichlorovinyl dimethyl phosphate or DDVP)","FEED, REG, 0.1 ppm - In edible tissues of swine -556.180; Use & other information - 558.205: 520.600"
404,Diethanolamide condensate from soybean oil fatty acids (C16-C18)- Adjuvants for pesticide use dilution -172.710,Diethanolamide condensate from soybean oil fatty acids (C16-C18),Adjuvants for pesticide use dilution -172.710
405,Diethanolamine condensate from stripped coconut oil fatty acids (C10-C18)- Adjuvants for pesticide use dilution - 172.710,Diethanolamine condensate from stripped coconut oil fatty acids (C10-C18),Adjuvants for pesticide use dilution - 172.710
406,"Diethylaminoethanol- BC, REG, 15 ppm - X-ref; Boiler water additives - 173.310",Diethylaminoethanol,"BC, REG, 15 ppm - X-ref; Boiler water additives - 173.310"
407,"Diethylene glycol monoethyl ether- SANI, REG, GMP, Adequate drainage - 178.1010",Diethylene glycol monoethyl ether,"SANI, REG, GMP, Adequate drainage - 178.1010"
408,Diethylenetriamine- Ion-exchange membranes - 173.20,Diethylenetriamine,Ion-exchange membranes - 173.20
409,Diethylenetriamine crosslinked with epichlorohydrin-Ion-exchange resins - 173.25,Diethylenetriamine crosslinked with epichlorohydrin-Ion-exchange resins,173.25
410,"Diethylamino-cellulose- MISC, GMP, Fixing agent for the immobilization of glucose isomerase for use in the manufacture of high fructose corn syrup, in accordance with Sec. 184.1372 - 173.357",Diethylamino-cellulose,"MISC, GMP, Fixing agent for the immobilization of glucose isomerase for use in the manufacture of high fructose corn syrup, in accordance with Sec. 184.1372 - 173.357"
411,"Diethylstilbestrol (DES) - FEED, BAN, Not legal for animal use (drug or feed)",Diethylstilbestrol (DES),"FEED, BAN, Not legal for animal use (drug or feed)"
412,"Diethyl pyrocarbonate (DEPC) - INH, ILL, Not legal in food",Diethyl pyrocarbonate (DEPC),"INH, ILL, Not legal in food"
413,"Dihydrosafrole - SY/FL, PD/ILL, Not legal in food",Dihydrosafrole,"SY/FL, PD/ILL, Not legal in food"
414,"3,5-Diiodosalicylic acid- DS, GRAS, Animal feed - 582.80","3,5-Diiodosalicylic acid","DS, GRAS, Animal feed - 582.80"
415,"Dilauryl thiodipropionate- AOX, GRAS, 0.02% of fat or oil incl essential oil content of food - 182.3280",Dilauryl thiodipropionate,"AOX, GRAS, 0.02% of fat or oil incl essential oil content of food - 182.3280"
416,"Dill- SP/ESO, GRAS - 184.1282",Dill,"SP/ESO, GRAS - 184.1282"
417,"Dill, Indian- FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510","Dill, Indian","FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510"
418,"Dimethylamine-Epichlorhydrin Copolymer- REG, 150 ppm - Decolorizing agent in clarification of sugar liquors and juices - 173.60",Dimethylamine-Epichlorhydrin Copolymer,"REG, 150 ppm - Decolorizing agent in clarification of sugar liquors and juices - 173.60"
419,"Dimethylamine-epichlorohydrin resin- MISC, GMP, Fixing agent for the immobilization of glucose isomerase for use in manufacturing high fructose corn syrup - 173.357",Dimethylamine-epichlorohydrin resin,"MISC, GMP, Fixing agent for the immobilization of glucose isomerase for use in manufacturing high fructose corn syrup - 173.357"
420,"Dimethyldialkyl(C14-C18)ammonium chloride- MISC, REG, <700 ppm by wt of sugar solids - Decoloring agent in the manufacture of sugar, alkyl groups (C14-C18) derived from tallow - 173.400",Dimethyldialkyl(C14-C18)ammonium chloride,"MISC, REG, <700 ppm by wt of sugar solids - Decoloring agent in the manufacture of sugar, alkyl groups (C14-C18) derived from tallow - 173.400"
421,"Dimethyl dicarbonate- MISC, REG, Microbial control agent in the following beverages under normal circumstances of bottling, canning, or other forms of final packaging, where the viable microbial load has been reduced to 500 microorganisms per milliliter or less by current good manufacturing practices such as heat treatment, filtration, or other technologies prior to the use of dimethyl dicarbonate:; 1) In wine, dealcoholized wine, and low alcohol wine in an amount not to exceed 200 parts per million. (2) In ready-to-drink teas in an amount not to exceed 250 parts per million. (3) In carbonated or noncarbonated, nonjuice-containing (less than or equal to 1 percent juice), flavored or unflavored beverages containing added electrolytes (5-20 milliequivalents/liter sodium ion (Na+) and 3-7 milliequivalents/liter potassium ion (K+)) in an amount not to exceed 250 parts per million. (4) In carbonated, dilute beverages containing juice, fruit flavor, or both, with juice content not to exceed 50 percent, in an amount not to exceed 250 parts per million - 172.133",Dimethyl dicarbonate,"MISC, REG, Microbial control agent in the following beverages under normal circumstances of bottling, canning, or other forms of final packaging, where the viable microbial load has been reduced to 500 microorganisms per milliliter or less by current good manufacturing practices such as heat treatment, filtration, or other technologies prior to the use of dimethyl dicarbonate:; 1) In wine, dealcoholized wine, and low alcohol wine in an amount not to exceed 200 parts per million. (2) In ready-to-drink teas in an amount not to exceed 250 parts per million. (3) In carbonated or noncarbonated, nonjuice-containing (less than or equal to 1 percent juice), flavored or unflavored beverages containing added electrolytes (5-20 milliequivalents/liter sodium ion (Na+) and 3-7 milliequivalents/liter potassium ion (K+)) in an amount not to exceed 250 parts per million. (4) In carbonated, dilute beverages containing juice, fruit flavor, or both, with juice content not to exceed 50 percent, in an amount not to exceed 250 parts per million - 172.133"
422,Dimethylethanolamine- Component of Ion-exchange membranes - 173.20,Dimethylethanolamine,Component of Ion-exchange membranes - 173.20
423,"Dimethylpolysiloxane- AF, REG, ZERO - In milk -173.340; 110 ppm - In dry gelatin dessert mixes; 250 ppm ­In salt for cooking purposes; 10 ppm - In other food in its ready-for-consumption state, 145.180(a), Cnd Pineapple; 146.185(a), Cnd Pineapple Juice",Dimethylpolysiloxane,"AF, REG, ZERO - In milk -173.340; 110 ppm - In dry gelatin dessert mixes; 250 ppm ­In salt for cooking purposes; 10 ppm - In other food in its ready-for-consumption state, 145.180(a), Cnd Pineapple; 146.185(a), Cnd Pineapple Juice"
424,"Dimetridazole - FEED/VET, REG, ZERO - NOT LEGAL FOR ANIMAL USE",Dimetridazole,"FEED/VET, REG, ZERO - NOT LEGAL FOR ANIMAL USE"
425,"Di-n-alkyl(C8-C10)dimethyl-ammonium chloride-SANI, REG, 150 ppm - Of active quaternary compound in the sanitizing solution - 178.1010","Di-n-alkyl(C8-C10)dimethyl-ammonium chloride-SANI, REG, 150 ppm",Of active quaternary compound in the sanitizing solution - 178.1010
426,"Di-n-alkylC8-C10)dimethylammonium chloride, n-alkyl(C12-C18)benzyldimethylammonium chloride, ethyl alcohol and alpha-(p-nonylphenyl)-omega-hydroxypoly(oxyethylene)- SANI, REG, 150 - 400 ppm -For use as components of sanitizing solution to be used on food contact surfaces - 178.1010","Di-n-alkylC8-C10)dimethylammonium chloride, n-alkyl(C12-C18)benzyldimethylammonium chloride, ethyl alcohol and alpha-(p-nonylphenyl)-omega-hydroxypoly(oxyethylene)","SANI, REG, 150 - 400 ppm -For use as components of sanitizing solution to be used on food contact surfaces - 178.1010"
427,"3,5-Dinitrobenzamide- FEED, REG, ZERO - In edible tissues and by-products of chickens; As residue 556.220; Feed use - 558.376","3,5-Dinitrobenzamide","FEED, REG, ZERO - In edible tissues and by-products of chickens; As residue 556.220; Feed use - 558.376"
428,"Dioctyl sodium sulfosuccinate- SDA, REG/FS, <0.5% of wt of gums or hydrophilic colloids - As solubilizing agent for gums & hydrophilic colloids used in food as stabilizing or thickening agents - 172.810; <0.4% by wt - In cocoa for manufacturing - 163.117, 172.810; 75 ppm - In finished beverage made with cocoa with DSS - 172.520; 15 ppm in finished gelatin - Wetting agent in fumaric acid acidulated gelatin desserts, including: Dry Gelatin Desserts; 10 ppm in finished beverage or fruit juice drink - dry beverage base, and fruit juice drinks when standards of identity do not preclude such use - 172.810; 25 ppm of finished beverage - As emulsifying agent for cocoa fat in non-carbonated bev containing cocoa - do; REG, <0.5 ppm per percent of sucrose -Processing aid in mfr of sugar - 172.810 <25 ppm in final molasses - Diluents in color additives, 73.1 - Copolymer condensates of ethylene oxide and propylene oxide, 172.808",Dioctyl sodium sulfosuccinate,"SDA, REG/FS, <0.5% of wt of gums or hydrophilic colloids - As solubilizing agent for gums & hydrophilic colloids used in food as stabilizing or thickening agents - 172.810; <0.4% by wt - In cocoa for manufacturing - 163.117, 172.810; 75 ppm - In finished beverage made with cocoa with DSS - 172.520; 15 ppm in finished gelatin - Wetting agent in fumaric acid acidulated gelatin desserts, including: Dry Gelatin Desserts; 10 ppm in finished beverage or fruit juice drink - dry beverage base, and fruit juice drinks when standards of identity do not preclude such use - 172.810; 25 ppm of finished beverage - As emulsifying agent for cocoa fat in non-carbonated bev containing cocoa - do; REG, <0.5 ppm per percent of sucrose -Processing aid in mfr of sugar - 172.810 <25 ppm in final molasses - Diluents in color additives, 73.1 - Copolymer condensates of ethylene oxide and propylene oxide, 172.808"
429,"Dipotassium phosphate- SEQ, GRAS/FS, Part 133.169, Past Process Cheese - 182.6285",Dipotassium phosphate,"SEQ, GRAS/FS, Part 133.169, Past Process Cheese - 182.6285"
430,"Disodium cyanodithioimidocarbonate- MISC, REG, 2.5 ppm in raw cane - For control of micro-organisms in cane sugar mills - 173.320; <2.9 ppm in raw cane or sugar beets with potassium N-methyldithiocarbamate for control of microorganisms in cane sugar and beet sugar mills - 173.320",Disodium cyanodithioimidocarbonate,"MISC, REG, 2.5 ppm in raw cane - For control of micro-organisms in cane sugar mills - 173.320; <2.9 ppm in raw cane or sugar beets with potassium N-methyldithiocarbamate for control of microorganisms in cane sugar and beet sugar mills - 173.320"
431,"Disodium EDTA (Disodium ethylenediaminetetraacetate)- MISC, REG/FS, 100 ppm - Promote color retention in frozen white potatoes, incl cut potatoes - 172.135; 110 ppm - Canned potatoes 155.200; 165 ppm - For color retention in cnd cooked legumes (all cooked, canned other than black-eyed peas) or kidney beans; 315 ppm - Promote color retention in dried banana comp of ready-to-eat cereal pdts; 145 ppm - Promote color retention in canned black-eyed peas, 155.200; 500 ppm - Promote color retention in canned strawberry pie filling, Part 145; 150 ppm - w/iron salts as a stabilizer for Vitamin B12 in liquid multivitamin preparations; 50 ppm - In gefilte fish balls; 36 ppm - As cure accelerator in cooked sausage; MISC, REG, 75 ppm alone or w/Ca disodium EDTA - In non-standardized dressings, sauces; French dressings, mayonnaise, salad dressing -172.135; 100 ppm alone or w/Ca disodium EDTA - In sandwich spread; 0.1% by wt of the dry sweeteners - As a sequestrant in non-nutritive sweeteners; FEED, REG, <240 ppm in feed - Used to solubilize trace minerals which are added to animal feeds - 573.360",Disodium EDTA (Disodium ethylenediaminetetraacetate),"MISC, REG/FS, 100 ppm - Promote color retention in frozen white potatoes, incl cut potatoes - 172.135; 110 ppm - Canned potatoes 155.200; 165 ppm - For color retention in cnd cooked legumes (all cooked, canned other than black-eyed peas) or kidney beans; 315 ppm - Promote color retention in dried banana comp of ready-to-eat cereal pdts; 145 ppm - Promote color retention in canned black-eyed peas, 155.200; 500 ppm - Promote color retention in canned strawberry pie filling, Part 145; 150 ppm - w/iron salts as a stabilizer for Vitamin B12 in liquid multivitamin preparations; 50 ppm - In gefilte fish balls; 36 ppm - As cure accelerator in cooked sausage; MISC, REG, 75 ppm alone or w/Ca disodium EDTA - In non-standardized dressings, sauces; French dressings, mayonnaise, salad dressing -172.135; 100 ppm alone or w/Ca disodium EDTA - In sandwich spread; 0.1% by wt of the dry sweeteners - As a sequestrant in non-nutritive sweeteners; FEED, REG, <240 ppm in feed - Used to solubilize trace minerals which are added to animal feeds - 573.360"
